timestamp,event_date,region,lag_days,ftrt
2026-07-15T12:35:50.815668+00:00,2026-07-03,14479,0,0
2026-07-15T12:35:50.815676+00:00,2026-07-03,14478,-7,6.75219
2026-07-15T12:35:50.815685+00:00,2026-07-03,14478,-3,7.742445
2026-07-15T12:35:50.815694+00:00,2026-07-03,14478,-1,0
2026-07-15T12:35:50.815704+00:00,2026-07-03,14478,0,0
2026-07-15T12:35:50.815713+00:00,2026-07-03,14479,-7,6.75219
2026-07-15T12:35:50.815723+00:00,2026-07-03,14479,-3,7.742445
2026-07-15T12:35:50.815731+00:00,2026-07-03,14479,-1,0
2026-07-15T12:35:50.815741+00:00,2026-07-03,14479,0,0
2026-07-15T12:35:50.815749+00:00,2026-07-03,14479,-7,6.75219
2026-07-15T12:35:50.815758+00:00,2026-07-03,14479,-3,7.742445
2026-07-15T12:35:50.815766+00:00,2026-07-03,14479,-1,0
2026-07-15T12:35:50.815776+00:00,2026-07-03,14479,0,0
2026-07-15T12:35:50.815785+00:00,2026-07-03,14480,-7,6.75219
2026-07-15T12:35:50.815795+00:00,2026-07-03,14480,-3,7.742445
2026-07-15T12:35:50.815807+00:00,2026-07-03,14480,-1,0
2026-07-15T12:35:50.815819+00:00,2026-07-03,14480,0,0
2026-07-15T12:35:50.815829+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.815841+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.815848+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.815873+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.815882+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.815891+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.815900+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.815910+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.815919+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.815928+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.815936+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.815946+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.815955+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.815964+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.815972+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.815981+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.815989+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.815999+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816006+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816015+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816024+00:00,2026-07-04,14479,-7,6.998444
