variable,lag,pearson
lambda_min,54,0.002462658870625201
lambda_min,55,-0.005627858423764582
lambda_min,56,-0.0034287700812311284
lambda_min,57,0.002746721031213823
lambda_min,58,-0.004161810726451634
lambda_min,59,0.0014294464189705245
lambda_min,60,0.00042400225978175967
lambda_min,61,0.011385657424110818
lambda_min,62,0.016258710128135023
lambda_min,63,0.015433562139309093
lambda_min,64,0.011017883939242232
lambda_min,65,0.013302419214933022
lambda_min,66,0.008229987608437076
lambda_min,67,-0.0008319235140301027
lambda_min,68,-0.0021780221996004654
lambda_min,69,0.0002406078236629999
lambda_min,70,0.004955455174193848
lambda_min,71,0.0012830439036340259
lambda_min,72,0.0011833960442784465
lambda_min,73,0.0065021713186865955
lambda_min,74,0.01126721020618328
lambda_min,75,0.005708796665246568
lambda_min,76,0.003439668151248108
lambda_min,77,0.004822399316208474
lambda_min,78,0.0013711921712912304
lambda_min,79,0.003061786465237779
lambda_min,80,-0.0021298553361374646
lambda_min,81,-0.0011018122333047277
lambda_min,82,0.002374835170386406
lambda_min,83,-0.0021767197276703286
lambda_min,84,-0.003131025555762247
lambda_min,85,0.001909639839792153
lambda_min,86,-0.0042888966921942745
lambda_min,87,-0.0047482817324585366
lambda_min,88,-0.016107574228872483
lambda_min,89,-0.025784879925405124
lambda_min,90,-0.029691373399251687
energia_resonancia,-90,-0.16977694181374603
energia_resonancia,-89,-0.1693028663153034
energia_resonancia,-88,-0.16905592186179932
energia_resonancia,-87,-0.16908594330860865
energia_resonancia,-86,-0.16941183024999967
energia_resonancia,-85,-0.1701797874728329
energia_resonancia,-84,-0.17128665628765574
energia_resonancia,-83,-0.1726257066449534
energia_resonancia,-82,-0.1741696172086707
energia_resonancia,-81,-0.175696479859454
energia_resonancia,-80,-0.17736745693669456
energia_resonancia,-79,-0.17899073026933074
energia_resonancia,-78,-0.18056188926575262
energia_resonancia,-77,-0.1818997047526538
energia_resonancia,-76,-0.18292208215803255
energia_resonancia,-75,-0.18363459488322095
energia_resonancia,-74,-0.1840252746788162
energia_resonancia,-73,-0.1840999007255596
energia_resonancia,-72,-0.18393371722873417
energia_resonancia,-71,-0.18364661932281381
energia_resonancia,-70,-0.1834056244451604
energia_resonancia,-69,-0.18334768459142725
energia_resonancia,-68,-0.1834211044256851
energia_resonancia,-67,-0.1838686006521253
energia_resonancia,-66,-0.18470369843272533
energia_resonancia,-65,-0.18585806228495444
energia_resonancia,-64,-0.1873320870572124
energia_resonancia,-63,-0.18912358053550887
energia_resonancia,-62,-0.1910758191974542
energia_resonancia,-61,-0.19315666856364666
energia_resonancia,-60,-0.19527225240938403
energia_resonancia,-59,-0.1971227832667325
energia_resonancia,-58,-0.19860115980031465
energia_resonancia,-57,-0.19968280381428918
energia_resonancia,-56,-0.20034160882777216
