best_lag,windows,mean_r,first_date,last_date
-135,5,0.21711280000000005,2026-07-15T23:41:20.551358+00:00,2026-07-15T23:42:24.927614+00:00
-128,5,0.6622442,2026-07-15T23:41:36.395342+00:00,2026-07-15T23:43:40.748116+00:00
9,5,-0.4998486,2026-07-15T23:43:42.925867+00:00,2026-07-15T23:43:43.287829+00:00
-107,5,0.4665068,2026-07-15T23:41:33.774830+00:00,2026-07-15T23:41:56.088745+00:00
95,5,-0.5777526,2026-07-15T23:43:05.538050+00:00,2026-07-15T23:43:06.354415+00:00
-109,5,0.7438986,2026-07-15T23:41:57.810796+00:00,2026-07-15T23:41:58.354169+00:00
101,5,-0.22683920000000005,2026-07-15T23:41:42.561175+00:00,2026-07-15T23:42:19.033511+00:00
105,4,-0.32499075,2026-07-15T23:41:04.535572+00:00,2026-07-15T23:42:12.875089+00:00
8,4,-0.49976875,2026-07-15T23:43:43.378463+00:00,2026-07-15T23:43:43.921857+00:00
-91,4,-0.79423025,2026-07-15T23:42:30.361808+00:00,2026-07-15T23:42:30.633088+00:00
28,4,-0.59635525,2026-07-15T23:41:03.539495+00:00,2026-07-15T23:41:03.810917+00:00
94,4,-0.59600675,2026-07-15T23:43:06.445633+00:00,2026-07-15T23:43:09.168874+00:00
-88,4,-0.5828720000000001,2026-07-15T23:42:49.674480+00:00,2026-07-15T23:42:51.396577+00:00
-93,3,0.6729283333333332,2026-07-15T23:41:48.547018+00:00,2026-07-15T23:41:48.727436+00:00
-81,3,0.5917910000000001,2026-07-15T23:42:21.204950+00:00,2026-07-15T23:42:21.386424+00:00
24,3,0.67239,2026-07-15T23:42:26.470600+00:00,2026-07-15T23:42:26.652349+00:00
-68,3,-0.7648493333333333,2026-07-15T23:41:17.657444+00:00,2026-07-15T23:41:17.838235+00:00
-67,3,-0.764297,2026-07-15T23:41:17.385337+00:00,2026-07-15T23:41:17.566620+00:00
102,3,0.11917200000000001,2026-07-15T23:41:42.743147+00:00,2026-07-15T23:42:18.762622+00:00
89,3,-0.18163566666666667,2026-07-15T23:43:05.357516+00:00,2026-07-15T23:43:46.463552+00:00
-127,3,0.7229416666666667,2026-07-15T23:41:36.214966+00:00,2026-07-15T23:42:33.805371+00:00
29,3,-0.628281,2026-07-15T23:41:06.254907+00:00,2026-07-15T23:41:06.434969+00:00
-105,2,-0.643402,2026-07-15T23:42:53.119782+00:00,2026-07-15T23:42:53.210265+00:00
-125,2,-0.605809,2026-07-15T23:41:40.837786+00:00,2026-07-15T23:41:46.552148+00:00
-37,2,-0.606516,2026-07-15T23:44:12.433331+00:00,2026-07-15T23:44:12.524478+00:00
23,2,0.6798435,2026-07-15T23:42:26.742321+00:00,2026-07-15T23:42:26.833182+00:00
13,2,0.5922495,2026-07-15T23:43:01.098375+00:00,2026-07-15T23:43:01.188933+00:00
55,2,0.5210494999999999,2026-07-15T23:42:49.493266+00:00,2026-07-15T23:42:49.583855+00:00
120,2,0.0013414999999999955,2026-07-15T23:41:46.642882+00:00,2026-07-15T23:43:30.946807+00:00
118,2,-0.816408,2026-07-15T23:41:08.151791+00:00,2026-07-15T23:41:08.422544+00:00
93,2,-0.6073835000000001,2026-07-15T23:43:08.805330+00:00,2026-07-15T23:43:08.896404+00:00
25,2,0.633378,2026-07-15T23:42:26.289131+00:00,2026-07-15T23:42:26.379918+00:00
-65,1,-0.761426,2026-07-15T23:41:17.294778+00:00,2026-07-15T23:41:17.294778+00:00
-131,1,0.758393,2026-07-15T23:41:21.460796+00:00,2026-07-15T23:41:21.460796+00:00
54,1,0.557178,2026-07-15T23:42:48.950873+00:00,2026-07-15T23:42:48.950873+00:00
78,1,-0.608387,2026-07-15T23:41:54.623794+00:00,2026-07-15T23:41:54.623794+00:00
100,1,-0.705515,2026-07-15T23:42:19.124218+00:00,2026-07-15T23:42:19.124218+00:00
-111,1,0.638274,2026-07-15T23:42:02.342515+00:00,2026-07-15T23:42:02.342515+00:00
12,1,0.5862,2026-07-15T23:43:01.279504+00:00,2026-07-15T23:43:01.279504+00:00
108,1,0.575978,2026-07-15T23:43:09.259578+00:00,2026-07-15T23:43:09.259578+00:00
-61,1,-0.51123,2026-07-15T23:43:51.003535+00:00,2026-07-15T23:43:51.003535+00:00
116,1,-0.653358,2026-07-15T23:42:26.106817+00:00,2026-07-15T23:42:26.106817+00:00
-102,1,-0.702283,2026-07-15T23:41:19.377876+00:00,2026-07-15T23:41:19.377876+00:00
117,1,-0.621441,2026-07-15T23:42:26.197735+00:00,2026-07-15T23:42:26.197735+00:00
1,1,0.567981,2026-07-15T23:41:22.364272+00:00,2026-07-15T23:41:22.364272+00:00
72,1,0.69667,2026-07-15T23:41:10.777536+00:00,2026-07-15T23:41:10.777536+00:00
-38,1,-0.60922,2026-07-15T23:44:12.615286+00:00,2026-07-15T23:44:12.615286+00:00
-60,1,-0.518239,2026-07-15T23:43:51.094023+00:00,2026-07-15T23:43:51.094023+00:00
69,1,0.690637,2026-07-15T23:41:10.687202+00:00,2026-07-15T23:41:10.687202+00:00
